Title,Company,Location,Date,Link,Skills
Software Engineer (University Grad),Meta,"San Francisco, CA",2024-02-06,https://www.linkedin.com/jobs/view/software-engineer-university-grad-at-meta-3821338026?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=f29dobCrGOeaOR%2FMySM3fg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,
"Software Engineer Intern, Front End (Summer 2024)",Notion,San Francisco Bay Area,2024-02-16,https://www.linkedin.com/jobs/view/software-engineer-intern-front-end-summer-2024-at-notion-3829141664?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=nHVgsjIpMGInNzoCjBIaQA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,
Junior Full Stack Engineer,ViralMoment,"San Francisco, CA",2024-01-18,https://www.linkedin.com/jobs/view/junior-full-stack-engineer-at-viralmoment-3826323256?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=5ZmOZSQ7kpQVsrXBw%2BsqNg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,
ML Engineer (Entry Level),Grindr,"San Francisco, CA",2024-02-10,https://www.linkedin.com/jobs/view/ml-engineer-entry-level-at-grindr-3767145997?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=IuHmEJAYOBwMWFRY0RFHHw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,
Front End Software Engineer,Syndio,"San Francisco, CA",2024-01-11,https://www.linkedin.com/jobs/view/front-end-software-engineer-at-syndio-3802863519?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=mFZzX0%2FgQhvwQgZCvcr6BA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,
Software Engineer,Microsoft,"Redmond, WA",2024-02-12,https://www.linkedin.com/jobs/view/software-engineer-at-microsoft-3825569733?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=F22v8%2FWtidf%2FHD02ZOlzEw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,
Software Engineer,Microsoft,"Redmond, WA",2024-02-12,https://www.linkedin.com/jobs/view/software-engineer-at-microsoft-3825592450?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=Y3YDR7jYRuSnjRD4%2FSq1GA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,
"Software Engineer, Enterprise",Notion,"New York, NY",2024-02-22,https://www.linkedin.com/jobs/view/software-engineer-enterprise-at-notion-3723901812?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=IkFEwHXxE3iMvmbwT%2Fricg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,
"Software Engineer, Trust",Notion,"New York, NY",2024-02-24,https://www.linkedin.com/jobs/view/software-engineer-trust-at-notion-3804631616?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=jkpe45IK3fsLfNHd3oWG1w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,
"Software engineer, new grad",Watershed,"San Francisco, CA",2024-02-23,https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-watershed-3837353076?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=ZoqcRx5ROV0gMM3TVCe%2F2A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,
ReactJS Developer,Zortech Solutions,"Alpharetta, GA",2024-01-05,https://www.linkedin.com/jobs/view/reactjs-developer-at-zortech-solutions-3816932467?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=SXkvmA7V4JNuvKb%2BifTXGw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,
Python Developer (internship),MindPal,"San Francisco, CA",2023-08-24,https://www.linkedin.com/jobs/view/python-developer-internship-at-mindpal-3703082773?refId=qiajOhYplZ5WiN9JCRx3kw%3D%3D&trackingId=WqoZZOuGq%2BPO7A58pI2DgQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,
