ID,Date,Company,Title,Location,Link
1,2024-02-20,McDonald's,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-mcdonald-s-3831162659?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=DlikugInbZ5BIDtIigaaRA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-07-01,Experfy,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3676190134?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=vaEmsCwAhlX10E5qNYBQLw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2024-02-21,Kaufman Hall,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-kaufman-hall-3831514729?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=zFoIgnmfGkGLdf55VZuWKQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2024-02-11,Grindr,ML Engineer (Entry Level),"Chicago, IL",https://www.linkedin.com/jobs/view/ml-engineer-entry-level-at-grindr-3767149472?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=CmjOma0P%2ByVNdc950ykmrg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2024-02-19,Oak Street Health,Data Scientist - Decision Science,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-decision-science-at-oak-street-health-3834559732?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=N5AAaB6q1sfWxlX20Tev0A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2024-02-09,DoorDash,"Data Scientist / Senior Data Scientist, Analytics","Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-senior-data-scientist-analytics-at-doordash-3809359034?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=XV%2BOTeXWI2GsKkdes%2B%2B32g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-09-15,Fooda,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-fooda-3714344404?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=Req84IvDvmfsV6bozjieRQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2024-02-18,Enova International,Data Scientist (Hybrid),"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-hybrid-at-enova-international-3799457828?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=CJOtQGQwYXZCOBKyML4Xdw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2023-10-18,PriceLabs,Data Scientist (Remote),"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-remote-at-pricelabs-3742736229?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=I%2B87RbyUvtMA5ZIwFkY2Mg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2024-02-22,NinjaTrader,Data Scientist,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-at-ninjatrader-3836577257?refId=DiSnNgtLID8JtmUgWo3bCA%3D%3D&trackingId=Ed281UWUaMBXMxbGApUVDQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
