ID,Date,Company,Title,Location,Link
1,2024-02-26,Asana,"Data Scientist, Marketing","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-marketing-at-asana-3762565783?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=PAb2q4tMTp3Cvc8AaFJd8w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2024-02-20,Notion,"Data Scientist, Marketing","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-marketing-at-notion-3834722481?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=4sfnI6jhY0ic8%2BsHXFNvIQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2024-02-20,Notion,"Data Scientist, Product","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-product-at-notion-3834718979?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=aVnUdxuUbhGWyKFg6KLTAQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2024-01-31,Flexon Technologies Inc.,Junior Data Scientist,"Pleasanton, CA",https://www.linkedin.com/jobs/view/junior-data-scientist-at-flexon-technologies-inc-3818732868?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=a5rZn1tX36%2BUSot3I6%2BGSw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2024-02-06,Netflix,"Data Scientist (L5) - Applied Research, Consumer Insights","Los Gatos, CA",https://www.linkedin.com/jobs/view/data-scientist-l5-applied-research-consumer-insights-at-netflix-3823888190?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=2Ifjrn0J0%2F63mopk0VoW0w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2024-02-18,Notion,"Data Scientist, Creators","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-creators-at-notion-3728539719?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=wlNXh6ivm2S4VfwyDXD90w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2024-02-07,Experfy,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3824077678?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=8iW0Tib667gTNp6R6RO3kA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2024-02-20,Netflix,Data Scientist (L5) - Title & Launch Management,"Los Gatos, CA",https://www.linkedin.com/jobs/view/data-scientist-l5-title-launch-management-at-netflix-3817189756?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=prOhrsHxZuDE5oqBzRiZkw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2024-02-26,"IRS, Office of Chief Counsel",Data Scientist (12 Month Roster),"San Jose, CA",https://www.linkedin.com/jobs/view/data-scientist-12-month-roster-at-irs-office-of-chief-counsel-3834843748?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=gVZkQfQKGLQAVsd92xYmkg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2024-02-20,Notion,"Data Scientist, Monetization","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-monetization-at-notion-3834718980?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=LYtfl0OatSycbjftyIWrFQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
11,2024-02-10,Grindr,ML Engineer (Entry Level),"San Francisco, CA",https://www.linkedin.com/jobs/view/ml-engineer-entry-level-at-grindr-3767145997?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=cQWOBkBfbATI2xP%2FAUxb1g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
12,2024-02-06,Meta,"Data Scientist, Small Business Group","Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-small-business-group-at-meta-3815562364?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=nNVlZvxm6hoVM1edV0SJpA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
13,2024-02-09,DoorDash,"Data Scientist / Senior Data Scientist, Analytics","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-senior-data-scientist-analytics-at-doordash-3809354356?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=Cy%2BVfdPmQOTrtWyi58%2FNOg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
14,2024-02-25,Roku Inc.,Senior Data Scientist,"San Jose, CA",https://www.linkedin.com/jobs/view/senior-data-scientist-at-roku-inc-3790666919?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=4pSeMo7h6RdguDaF4KCgNQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
15,2024-02-06,Meta,"Data Scientist, Small Business Group","Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-small-business-group-at-meta-3816212485?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=codPqx7xMg4jRhwrjW6Omg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
16,2024-02-06,Meta,"Data Scientist, Product Analytics","Burlingame, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3811307283?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=FrY6VytySMjVS44kMrQdgg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
17,2024-02-10,Netflix,"Experimentation & Causal Inference Intern, Data Science & Engineering (Summer 2024)","Los Gatos, CA",https://www.linkedin.com/jobs/view/experimentation-causal-inference-intern-data-science-engineering-summer-2024-at-netflix-3780550771?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=Boy%2FunOHvhpJk4b5XfjG5g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
18,2024-02-06,Meta,"Data Scientist, Product Analytics","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3820057928?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=XSkmWqK%2BxY%2F9hVBBusk86Q%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
19,2024-02-25,LinkedIn,"Staff Data Scientist, Strategy & Insights","Sunnyvale, CA",https://www.linkedin.com/jobs/view/staff-data-scientist-strategy-insights-at-linkedin-3818486672?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=EzRzZxqd8iuP1pNJijx%2BBw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
20,2024-02-08,Meta,"Data Scientist, Product Analytics","San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3825905300?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=BekmIpXt4n3Xeqm3OxXP9Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
21,2024-02-06,Meta,"Data Scientist, Product Analytics","Burlingame, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3811308279?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=eITD4wgl3AbKfxs5oCucng%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
22,2024-02-06,Meta,"Data Scientist, Product Analytics","Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3811302910?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=3o2Y9WDZNPZODFdCl4XpIg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
23,2024-02-06,Meta,"Data Scientist, Product Analytics","Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3811309123?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=iyyceLbygo%2B2q9kXum2WaA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
24,2024-02-09,Meta,"Data Scientist, GBG","Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-gbg-at-meta-3826375552?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=x2mEogQHWZe6PteDA71%2BvA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
25,2024-02-22,Asana,"Senior Data Scientist, Marketing","San Francisco, CA",https://www.linkedin.com/jobs/view/senior-data-scientist-marketing-at-asana-3771500551?refId=MEAKKBmw8rb7rhLGLSQurw%3D%3D&trackingId=0ogx4vh6C3cwqMw7rhstzg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
26,2024-02-09,Meta,"Data Scientist, GBG","Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-gbg-at-meta-3826374595?refId=w5QmXrD469TLDDvf5tZhZA%3D%3D&trackingId=NVxinBnb6wkzcEczSAMg5w%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
