ID,Date,Company,Title,Location,Link
1,2024-02-02,McDonald's,Engineer I (Core Platform Capabilities),"Chicago, IL",https://www.linkedin.com/jobs/view/engineer-i-core-platform-capabilities-at-mcdonald-s-3816818169?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=g6EmKMyNoAHkpAphj1lYsA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2023-08-24,MindPal,Python Developer (internship),"Chicago, IL",https://www.linkedin.com/jobs/view/python-developer-internship-at-mindpal-3703092350?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=w651T9Nm%2BcUwjAy0GWdHDQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2023-09-13,Akuna Capital,Software Engineer (Entry-Level) - C++,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-entry-level-c%2B%2B-at-akuna-capital-3734281072?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=3LGVlVc668f%2BANnUPFNRvg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2023-12-02,minware,Junior Front End Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/junior-front-end-engineer-at-minware-3776860908?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=JEjT2pHbU0iifkqzMFZGVA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2024-01-22,PatientIQ,Frontend Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/frontend-developer-at-patientiq-3812277704?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=dkRJkZmLP%2Fu0DluJx0RACQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2024-02-22,Supernova Technology™,Junior Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/junior-software-engineer-at-supernova-technology%E2%84%A2-3831847649?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=Kbavh7VxKMBp3jQdF1PzMw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2024-02-22,Saragossa,"Full-Stack Engineer – up to $300,000 Salary + Bonuses","Chicago, IL",https://www.linkedin.com/jobs/view/full-stack-engineer-%E2%80%93-up-to-%24300-000-salary-%2B-bonuses-at-saragossa-3836230056?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=gXr0jlxck67zKLxjxOq%2Fdw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2024-02-12,Epsilon,New Grad Program - Associate Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/new-grad-program-associate-software-engineer-at-epsilon-3825812046?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=t01EXQ2QWgxed3UWVKnEEw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2024-02-15,American Express Global Business Travel,Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-at-american-express-global-business-travel-3827936961?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=UkhR8%2BortXILqXaYzN5TGg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2023-05-28,Loop,"Software Engineer, Full-Stack","Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-loop-3641783548?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=wJ6vvxSAALlS4ryV%2BEqGWg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
11,2024-01-29,NinjaTrader,"Software Engineer, Web","Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-web-at-ninjatrader-3816068909?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=RgpkkWGreLHpIvuP9hYAww%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
12,2023-11-20,Old Mission,College Graduates - Full-Time - Junior Software Engineer (2024),"Chicago, IL",https://www.linkedin.com/jobs/view/college-graduates-full-time-junior-software-engineer-2024-at-old-mission-3761762893?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=VPqNvBl2MGLr6waBp%2BcbNw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
13,2024-01-31,Potbelly Sandwich Works,Front End Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/front-end-developer-at-potbelly-sandwich-works-3817666076?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=Mk5Ja0Q5cyAxgR1%2FHPdnRg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
14,2024-02-11,Grindr,ML Engineer (Entry Level),"Chicago, IL",https://www.linkedin.com/jobs/view/ml-engineer-entry-level-at-grindr-3767149472?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=Vuh7c3oVUQRV2gFOPCEzNg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
15,2024-01-16,PatientIQ,Fullstack Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/fullstack-software-engineer-at-patientiq-3807976228?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=AMq%2FvpCRW5NHu0k22qbwUw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
16,2023-08-28,MindPal,Fullstack Developer (Node.JS & React),"Chicago, IL",https://www.linkedin.com/jobs/view/fullstack-developer-node-js-react-at-mindpal-3706080858?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=02Cz810%2BG359GR6TqHfOpA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
17,2023-08-29,MindPal,Fullstack Developer (Node.JS & React),"Chicago, IL",https://www.linkedin.com/jobs/view/fullstack-developer-node-js-react-at-mindpal-3706660147?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=fEgMKnbeGowiFsKAYp6Alg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
18,2024-02-24,Stripe,"Full Stack Engineer, Atlas","Chicago, IL",https://www.linkedin.com/jobs/view/full-stack-engineer-atlas-at-stripe-3839137007?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=3CII%2FHp6%2BJzAauSPjAjygg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
19,2024-02-14,Stripe,"Frontend Engineer, Elements","Chicago, IL",https://www.linkedin.com/jobs/view/frontend-engineer-elements-at-stripe-3830561001?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=hqsY2q6uoCfV6tkT8sy45A%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
20,2024-01-31,"Spectrum Communications & Consulting, LLC.",Front End Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/front-end-developer-at-spectrum-communications-consulting-llc-3817909574?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=S8cpgksXsqXRfuVtXhBftA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
21,2024-02-18,Walgreens,Software Engineer - Azure,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-azure-at-walgreens-3829661130?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=sxig7gbIBFFHYO98l1WglA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
22,2023-12-15,Lever Middleware Test Company 2,Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-at-lever-middleware-test-company-2-3787339241?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=ZFIjyTVdB0XbBCfluPPksA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
23,2023-11-23,Super.com,Intermediate Full-stack Engineer (Remote),"Chicago, IL",https://www.linkedin.com/jobs/view/intermediate-full-stack-engineer-remote-at-super-com-3765157393?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=u%2F3Y7EF76Mq6z%2BpxxcVvAg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
24,2024-02-14,Fifth Third Bank,Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-at-fifth-third-bank-3830529887?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=gmlSxz0nxgObeMo15NeY9w%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
25,2024-02-09,CoPilot,Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-at-copilot-3826898613?refId=IKkdX3oFjy7kub0L0xcqmw%3D%3D&trackingId=eEpmosuX1l%2BpBv1rnOGpGg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
