ID,Date,Company,Title,Location,Link
1,2024-02-16,Meta,Software Engineer (University Grad),"Fremont, CA",https://www.linkedin.com/jobs/view/software-engineer-university-grad-at-meta-3831975122?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=5pjvh877eOD7tBFFjoPDog%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2,2024-02-06,Meta,Software Engineer (University Grad),"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-university-grad-at-meta-3821338026?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=68tZWOvBHL%2BE6GfCb7R3aw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3,2024-02-06,Meta,Software Engineer (University Grad),"Menlo Park, CA",https://www.linkedin.com/jobs/view/software-engineer-university-grad-at-meta-3811303833?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=VSo%2BTT9YBqnub8p5RrnQhw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
4,2024-02-06,Meta,Software Engineer (University Grad),"Burlingame, CA",https://www.linkedin.com/jobs/view/software-engineer-university-grad-at-meta-3811303834?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=PFxRbTgja4i8%2FeEfb7ldyA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
5,2024-02-16,Notion,"Software Engineer Intern, Front End (Summer 2024)",San Francisco Bay Area,https://www.linkedin.com/jobs/view/software-engineer-intern-front-end-summer-2024-at-notion-3829141664?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=y1QC%2Be7OwIoVYWCzg2TdMA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2024-02-20,Roku Inc.,Software Engineer Intern,"San Jose, CA",https://www.linkedin.com/jobs/view/software-engineer-intern-at-roku-inc-3834641743?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=j2%2F%2B8WKhZEnqM2r8RAiFTg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
7,2023-10-09,Wispr AI,0-1 Software Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/0-1-software-engineer-at-wispr-ai-3730583855?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=QCE%2Fs1i4DF0yV48ucDm2nw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2024-02-23,Watershed,"Software engineer, new grad","San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-watershed-3837353076?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=%2F7YnH1790xJ%2BjYchTma3zw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
9,2024-02-10,Netflix,Software Engineer (L5) - Streaming Algorithms,"Los Gatos, CA",https://www.linkedin.com/jobs/view/software-engineer-l5-streaming-algorithms-at-netflix-3718482673?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=kgFnwTZ3vI70Ss58e5I91w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2024-02-23,Swift Solar,Software Engineer - Entry Level,"San Carlos, CA",https://www.linkedin.com/jobs/view/software-engineer-entry-level-at-swift-solar-3836826307?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=x2heBydiuOGlJOoeTdQi7g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
11,2024-02-12,Microsoft,Software Engineer,"Mountain View, CA",https://www.linkedin.com/jobs/view/software-engineer-at-microsoft-3825578849?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=%2Fn2JP%2FUqtUny37DEqemJEw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
12,2024-02-06,Meta,Rotational Software Engineer,"Menlo Park, CA",https://www.linkedin.com/jobs/view/rotational-software-engineer-at-meta-3811301555?refId=tJZ%2FdqxzInrNDDKoiIARUw%3D%3D&trackingId=NGl0x02IGhSF%2FNLGEhMGTw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
